0,574.0,1.0
1,574.0,1.0
2,574.0,1.0
13087,829.0,0.175
13088,817.0,0.175
13089,812.0,0.175
13090,811.0,0.175
13091,810.0,0.175
13092,812.0,0.175
13093,813.0,0.175
13094,814.0,0.175
13095,815.0,0.175
13096,817.0,0.175
13097,819.0,0.175
13098,820.0,0.175
13099,822.0,0.175
13100,823.0,0.175
13101,824.0,0.175
13102,823.0,0.175
13103,825.0,0.175
13104,826.0,0.175
13105,828.0,0.175
13106,829.0,0.175
13107,830.0,0.1
13108,830.0,0.1
13109,831.0,0.1
13110,833.0,0.1
13111,834.0,0.1
13112,835.0,0.1
13113,837.0,0.1
13114,838.0,0.1
13115,840.0,0.1
13116,841.0,0.1
13117,843.0,0.1
13118,845.0,0.1
13119,844.0,0.1
13120,845.0,0.1
13121,847.0,0.1
13122,848.0,0.1
13134,867.0,0.15
13135,869.0,0.15
13136,870.0,0.15
13137,872.0,0.15
13138,873.0,0.15
13139,874.0,0.15
13140,875.0,0.15
13166,901.0,0.125
13167,902.0,0.125
13168,902.0,0.125
13169,903.0,0.125
13170,905.0,0.125
13171,906.0,0.125
13172,906.0,0.125
13173,907.0,0.125
13174,906.0,0.125
13175,906.0,0.125
13176,907.0,0.125
13177,907.0,0.125
13178,909.0,0.125
13179,910.0,0.125
13180,911.0,0.125
13181,912.0,0.125
13182,912.0,0.125
13183,913.0,0.125
13184,914.0,0.125
13185,915.0,0.125
13186,915.0,0.125
13187,915.0,0.125
13188,915.0,0.125
13189,916.0,0.125
13190,916.0,0.125
13191,917.0,0.125
13192,917.0,0.125
13193,918.0,0.125
13194,919.0,0.125
13249,936.0,0.1
13250,937.0,0.1
13251,937.0,0.1
13252,938.0,0.1
13253,938.0,0.1
13254,938.0,0.1
13255,939.0,0.1
13256,939.0,0.1
13257,939.0,0.1
13258,939.0,0.1
13259,939.0,0.1
13260,938.0,0.1
13261,936.0,0.1
13262,937.0,0.1
13263,937.0,0.1
13264,938.0,0.1
13265,938.0,0.1
13266,939.0,0.1
13267,939.0,0.1
13268,940.0,0.1
13269,940.0,0.1
13270,940.0,0.1
13474,972.0,0.1
