15:34:10;646;842;646;;7004
15:34:11;646;842;646;;10804
15:34:11;646;842;646;;3944
15:34:12;646;842;646;;3880
15:34:12;646;842;646;;6700
15:34:13;646;843;646;;6572
15:34:13;646;843;646;;5972
15:34:14;646;842;646;;6160
15:34:14;646;842;646;;7312
15:34:15;646;842;646;;5100
15:34:15;646;842;646;;6740
15:34:16;646;843;646;;6012
15:34:16;646;843;646;;6636
15:34:17;646;843;647;;6360
15:34:17;646;843;647;;6344
15:34:18;646;843;647;;8512
15:34:18;646;843;647;;6716
15:34:19;646;844;647;;6804
15:34:19;646;844;647;;7104
15:34:20;646;843;647;;6904
15:34:20;646;843;647;;6256
15:34:21;646;843;647;;4992
15:34:21;646;843;647;;4920
15:34:22;646;844;647;;5896
15:34:22;646;844;647;;8320
15:34:23;646;843;647;;8684
15:34:23;646;843;647;;6492
15:34:24;646;844;647;;6648
15:34:24;646;844;647;;6636
15:34:25;647;844;647;;6784
15:34:25;647;844;647;;6392
15:34:26;647;844;647;;6088
15:34:26;647;844;647;;5880
15:34:27;647;845;647;;7632
15:34:27;647;845;647;;7308
15:34:28;647;845;647;;7208
15:34:28;647;845;647;;10996
15:34:29;647;846;647;;10088
15:34:29;647;846;647;;6552
15:34:30;647;847;647;;6412
15:34:30;647;847;647;;3944
15:34:31;647;847;647;;8192
15:34:31;647;847;647;;8988
15:34:32;647;847;648;;3812
15:34:32;647;847;648;;3832
15:34:33;647;847;648;;3864
15:34:33;647;847;648;;5968
15:34:34;647;847;647;;7068
15:34:34;647;847;647;;8560
15:34:35;647;846;647;;5728
15:34:35;647;846;647;;8640
15:34:36;647;846;647;;3764
15:34:36;647;846;647;;3816
15:34:37;647;848;648;;3764
15:34:37;647;848;648;;3760
15:34:38;648;847;648;;3740
15:34:38;648;847;648;;3760
15:34:39;648;849;648;;3732
15:34:39;648;849;648;;3760
15:34:40;648;849;648;;3756
15:34:40;648;849;648;;3780
15:34:41;648;850;648;;3756
15:34:41;648;850;648;;3728
15:34:42;648;849;648;;3804
15:34:42;648;849;648;;3756
15:34:43;648;849;648;;3728
15:34:43;648;849;648;;3776
15:34:44;648;849;648;;3780
15:34:44;648;849;648;;3728
15:34:45;648;848;648;;3704
15:34:45;648;848;648;;3800
15:34:46;648;848;648;;3776
15:34:46;648;848;648;;3832
15:34:47;647;847;648;;3780
15:34:47;647;847;648;;8484
15:34:48;648;848;648;;8560
15:34:49;648;849;648;;3808
15:34:49;648;849;648;;10940
15:34:50;648;850;648;;3804
15:34:50;648;850;648;;10996
15:34:51;648;850;648;;3780
15:34:51;648;850;648;;3780
15:34:52;648;851;648;;3788
15:34:52;648;851;648;;6608
15:34:53;648;851;648;;8588
15:34:53;648;851;648;;7696
15:34:54;648;851;648;;8064
15:34:54;648;851;648;;10604
15:34:55;648;850;648;;11012
15:34:55;648;850;648;;3848
15:34:56;648;850;648;;3816
15:34:56;648;850;648;;3756
15:34:57;648;849;648;;10672
15:34:57;648;849;648;;9764
15:34:58;648;850;648;;6676
15:34:58;648;850;648;;3844
15:34:59;648;850;648;;6488
15:34:59;648;850;648;;10152
15:35:00;648;851;648;;8476
15:35:00;648;851;648;;8656
15:35:01;648;852;649;;6300
15:35:01;648;852;649;;7176
15:35:02;649;852;649;;8556
15:35:02;649;852;649;;6956
15:35:03;649;851;649;;7444
15:35:03;649;851;649;;8880
15:35:04;649;852;649;;6480
15:35:04;649;852;649;;6560
15:35:05;649;852;649;;7540
