12:57:46;686;987;686;;5876
12:57:46;686;987;686;;11520
12:57:47;686;988;686;;5908
12:57:47;686;988;686;;3388
12:57:48;686;989;686;;6572
12:57:48;686;989;686;;1372
12:57:49;687;989;687;;12700
12:57:49;687;989;687;;12692
12:57:50;687;990;687;;22312
12:57:50;687;990;687;;5128
12:57:51;687;990;687;;15892
12:57:51;687;990;687;;8980
12:57:52;687;991;687;;1960
12:57:52;687;991;687;;20148
12:57:53;687;991;687;;4504
12:57:53;687;991;687;;836
12:57:54;687;991;687;;492
12:57:54;687;991;687;;208
12:57:55;687;991;687;;19724
12:57:55;687;991;687;;21948
12:57:56;687;991;687;;2848
12:57:56;687;991;687;;5380
12:57:57;687;991;687;;1496
12:57:58;687;992;687;;19448
12:57:58;687;992;687;;1704
12:57:59;687;992;688;;22704
12:57:59;687;992;688;;616
12:58:00;687;992;688;;488
12:58:00;687;992;688;;2080
12:58:01;688;993;688;;19672
12:58:01;688;993;688;;768
12:58:02;688;993;688;;2992
12:58:02;688;993;688;;15956
12:58:03;688;993;688;;7960
12:58:03;688;993;688;;2212
12:58:04;688;993;688;;19732
12:58:04;688;993;688;;5456
12:58:05;688;994;688;;16980
12:58:05;688;994;688;;2312
12:58:06;688;994;688;;4940
12:58:06;688;994;688;;21200
12:58:07;688;995;688;;24708
12:58:07;688;995;688;;5300
12:58:08;688;995;688;;1104
12:58:08;688;995;688;;13424
12:58:09;688;995;688;;1500
12:58:09;688;995;688;;19148
12:58:10;688;995;688;;4408
12:58:10;688;995;688;;2860
12:58:11;688;995;688;;25308
12:58:11;688;995;688;;5816
12:58:12;688;996;689;;1452
12:58:12;688;996;689;;18940
12:58:13;688;996;689;;4348
12:58:13;688;996;689;;20168
12:58:14;689;996;689;;3200
12:58:14;689;996;689;;22436
12:58:15;689;996;689;;4468
12:58:15;689;996;689;;20444
12:58:16;689;997;689;;4236
12:58:16;689;997;689;;136
12:58:17;689;997;689;;19320
12:58:17;689;997;689;;3380
12:58:18;689;997;689;;848
12:58:18;689;997;689;;340
12:58:19;689;997;689;;19488
12:58:19;689;997;689;;17572
12:58:20;689;998;689;;9924
12:58:20;689;998;689;;2440
12:58:21;689;998;689;;19936
12:58:21;689;998;689;;3904
12:58:22;689;999;689;;19660
12:58:22;689;999;689;;25380
12:58:23;689;999;689;;3284
12:58:23;689;999;689;;4352
12:58:24;689;999;690;;88
12:58:24;689;999;690;;15096
12:58:25;690;999;690;;18664
12:58:25;690;999;690;;12900
12:58:26;690;999;690;;15496
12:58:26;690;999;690;;11376
12:58:27;690;1000;690;;17704
12:58:27;690;1000;690;;8316
12:58:28;690;1000;690;;2744
12:58:28;690;1000;690;;676
12:58:29;690;1000;690;;18664
12:58:30;690;1000;690;;6560
12:58:30;690;1000;690;;1104
12:58:31;690;1000;690;;624
12:58:31;690;1000;690;;448
12:58:32;690;1001;690;;20060
12:58:32;690;1001;690;;17860
12:58:33;690;1001;690;;11116
12:58:33;690;1001;690;;16176
12:58:34;690;1001;690;;10556
12:58:34;690;1001;690;;17512
12:58:35;690;1001;690;;3344
12:58:35;690;1001;690;;1384
12:58:36;690;1001;690;;428
12:58:36;690;1001;690;;4104
12:58:37;690;1001;690;;120
12:58:37;690;1001;690;;19656
12:58:38;690;1001;690;;19520
12:58:38;690;1001;690;;9508
12:58:39;690;1002;690;;1968
12:58:39;690;1002;690;;19736
12:58:40;690;1002;690;;3676
12:58:40;690;1002;690;;17332
12:58:41;690;1002;690;;752
12:58:41;690;1002;690;;11116
12:58:42;690;1002;690;;2808
12:58:42;690;1002;690;;676
12:58:43;690;1002;690;;19876
12:58:43;690;1002;690;;5636
12:58:44;690;1002;691;;19908
12:58:44;690;1002;691;;4124
12:58:45;690;1003;691;;1756
12:58:45;690;1003;691;;19576
12:58:46;690;1003;691;;3700
12:58:46;690;1003;691;;1644
12:58:47;691;1003;691;;13800
12:58:47;691;1003;691;;8128
12:58:48;691;1003;691;;7252
12:58:48;691;1003;691;;2620
12:58:49;691;1003;691;;2020
12:58:49;691;1003;691;;6620
12:58:50;691;1003;691;;14132
12:58:50;691;1003;691;;11596
12:58:51;691;1003;691;;22768
12:58:51;691;1003;691;;5592
12:58:52;691;1003;691;;15212
12:58:52;691;1003;691;;5020
12:58:53;691;1003;691;;2136
12:58:53;691;1003;691;;400
12:58:54;691;1003;691;;532
12:58:54;691;1003;691;;15740
12:58:55;691;1004;691;;13600
12:58:55;691;1004;691;;3740
12:58:56;691;1004;691;;560
12:58:56;691;1004;691;;868
12:58:57;691;1004;691;;1088
12:58:57;691;1004;691;;1396
12:58:58;691;1004;691;;15128
12:58:58;691;1004;691;;9788
12:58:59;691;1004;691;;20464
12:58:59;691;1004;691;;6876
12:59:00;691;1004;691;;1744
12:59:00;691;1004;691;;13484
12:59:01;691;1004;691;;9944
12:59:01;691;1004;691;;4600
12:59:02;691;1004;691;;992
12:59:02;691;1004;691;;788
12:59:03;691;1004;691;;18628
12:59:03;691;1004;691;;4424
12:59:04;691;1004;691;;2216
12:59:04;691;1004;691;;112
12:59:05;691;1004;691;;17544
12:59:05;691;1004;691;;4912
12:59:06;691;1004;691;;15552
12:59:06;691;1004;691;;2812
12:59:13;691;1004;691;;256768
12:59:14;691;1003;691;;342348
12:59:14;691;1003;691;;6728
12:59:15;690;1001;690;;696
12:59:15;690;1001;690;;4280
12:59:16;690;1002;691;;14516
12:59:16;690;1002;691;;3396
12:59:17;690;1003;691;;676
12:59:17;690;1003;691;;18368
12:59:18;690;1002;691;;5472
12:59:18;690;1002;691;;19716
12:59:19;690;1002;690;;5140
12:59:19;690;1002;690;;6172
12:59:20;690;1002;690;;2020
12:59:20;690;1002;690;;7232
12:59:21;690;1001;690;;6192
12:59:21;690;1001;690;;2756
12:59:22;690;1001;690;;456
12:59:22;690;1001;690;;18684
12:59:23;690;1001;690;;3572
12:59:23;690;1001;690;;1612
12:59:24;690;1002;690;;19680
12:59:25;690;1001;690;;7532
12:59:25;690;1001;690;;264
12:59:26;690;1001;690;;20036
12:59:26;690;1001;690;;6196
12:59:27;690;1001;690;;680
12:59:27;690;1001;690;;700
12:59:28;690;1001;690;;20236
12:59:28;690;1001;690;;4708
12:59:29;690;1002;690;;1304
12:59:29;690;1002;690;;280
12:59:30;690;1002;690;;280
12:59:30;690;1002;690;;272
12:59:31;690;1002;690;;292
12:59:31;690;1002;690;;288
12:59:32;690;1002;690;;276
12:59:32;690;1002;690;;288
12:59:33;690;1002;690;;260
